SRX_accession	SRA_accession	series	GEO_accession	library_prep	library_	enrichment	platform	species	condition	origin_tissue	study_id	inflammatory_analysis	included.in.current.version	X1st.author	citation.PMID	ARCHS4	genotype	isolation_strategy	timecourse	model
SRX1066937	SRR2071727	GSE70068	GSM1716674	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	TNF	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	Polymorphprep	1h	in vitro
SRX182671	SRR553460	GSE40548	GSM996197	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	HC	PB	Wright HL 2013	TRUE	TRUE	Wright HL	23554905	TRUE	NA	Polymorphprep	1h	in vitro
SRX182672	SRR553461	GSE40548	GSM996198	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	TNF	PB	Wright HL 2013	TRUE	TRUE	Wright HL	23554905	TRUE	NA	Polymorphprep	1h	in vitro
SRX182673	SRR553462	GSE40548	GSM996199	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	GM.CSF	PB	Wright HL 2013	TRUE	TRUE	Wright HL	23554905	TRUE	NA	Polymorphprep	1h	in vitro
SRX182674	SRR553463	GSE40548	GSM996200	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	HC	PB	Wright HL 2013	TRUE	TRUE	Wright HL	23554905	TRUE	NA	Polymorphprep	1h	in vitro
SRX182675	SRR553464	GSE40548	GSM996201	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	TNF	PB	Wright HL 2013	TRUE	TRUE	Wright HL	23554905	TRUE	NA	Polymorphprep	1h	in vitro
SRX182676	SRR553465	GSE40548	GSM996202	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	GM.CSF	PB	Wright HL 2013	TRUE	TRUE	Wright HL	23554905	TRUE	NA	Polymorphprep	1h	in vitro
SRX1903068	SRR3749301	GSE84153_GSE84162	GSM2228263	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	HC	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX1903069	SRR3749302	GSE84153_GSE84162	GSM2228264	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	LPS	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX1903072	SRR3749305	GSE84153_GSE84162	GSM2228267	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	HC	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX1903073	SRR3749306	GSE84153_GSE84162	GSM2228268	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	LPS	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX1903076	SRR3749309	GSE84153_GSE84162	GSM2228271	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	HC	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX1903077	SRR3749310	GSE84153_GSE84162	GSM2228272	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	LPS	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX1903080	SRR3749313	GSE84153_GSE84162	GSM2228275	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	HC	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX1903081	SRR3749314	GSE84153_GSE84162	GSM2228276	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	LPS	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX1903084	SRR3749317	GSE84153_GSE84162	GSM2228279	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	HC	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX1903085	SRR3749318	GSE84153_GSE84162	GSM2228280	TruSeq RNA Library Prep Kit v2	single-end	mRNA	Illumina HiSeq 2500	Hs	LPS	PB	McCreary M 2019	TRUE	TRUE	McCreary M	NA	TRUE	NA	negative_selection	6.5h	in vitro
SRX3140239	SRR5984243	GSE103170	GSM2756550	TruSeq RNA Sample Prep	single-end	mRNA	Illumina Nextseq500	Hs	HC	PB	Ter Haar NM 2018	TRUE	TRUE	Ter Haar NM	26310571	TRUE	NA	CD16+_CD14-_CD41-	NA	in vivo
SRX3140240	SRR5984245	GSE103170	GSM2756551	TruSeq RNA Sample Prep	single-end	mRNA	Illumina Nextseq500	Hs	HC	PB	Ter Haar NM 2018	TRUE	TRUE	Ter Haar NM	26310571	TRUE	NA	CD16+_CD14-_CD41-	NA	in vivo
SRX3140241	SRR5984247	GSE103170	GSM2756552	TruSeq RNA Sample Prep	single-end	mRNA	Illumina Nextseq500	Hs	HC	PB	Ter Haar NM 2018	TRUE	TRUE	Ter Haar NM	26310571	TRUE	NA	CD16+_CD14-_CD41-	NA	in vivo
SRX3140242	SRR5984249	GSE103170	GSM2756553	TruSeq RNA Sample Prep	single-end	mRNA	Illumina Nextseq500	Hs	JIA	PB	Ter Haar NM 2018	TRUE	TRUE	Ter Haar NM	26310571	TRUE	NA	CD16+_CD14-_CD41-	NA	in vivo
SRX3140243	SRR5984251	GSE103170	GSM2756554	TruSeq RNA Sample Prep	single-end	mRNA	Illumina Nextseq500	Hs	JIA	PB	Ter Haar NM 2018	TRUE	TRUE	Ter Haar NM	26310571	TRUE	NA	CD16+_CD14-_CD41-	NA	in vivo
SRX3140244	SRR5984253	GSE103170	GSM2756555	TruSeq RNA Sample Prep	single-end	mRNA	Illumina Nextseq500	Hs	JIA	PB	Ter Haar NM 2018	TRUE	TRUE	Ter Haar NM	26310571	TRUE	NA	CD16+_CD14-_CD41-	NA	in vivo
SRX3729682	SRR6757086	GSE110914	GSM3018809	NEBNext Ultra RNA Library Prep Kit for Illumina, standard tophat, htseq count	single-end	NA	Illumina HiSeq 2500	Hs	HC	PB	Vecchio F 2018	FALSE	FALSE	Vecchio F	30232284	TRUE	NA	Ficoll-Hypaque	NA	in vivo
SRX3729683	SRR6757087	GSE110914	GSM3018810	NEBNext Ultra RNA Library Prep Kit for Illumina, standard tophat, htseq count	single-end	NA	Illumina HiSeq 2500	Hs	HC	PB	Vecchio F 2018	FALSE	FALSE	Vecchio F	30232284	TRUE	NA	Ficoll-Hypaque	NA	in vivo
SRX3729690	SRR6757094	GSE110914	GSM3018817	NEBNext Ultra RNA Library Prep Kit for Illumina, standard tophat, htseq count	single-end	NA	Illumina HiSeq 2500	Hs	HC	PB	Vecchio F 2018	FALSE	FALSE	Vecchio F	30232284	TRUE	NA	Ficoll-Hypaque	NA	in vivo
SRX3729691	SRR6757095	GSE110914	GSM3018818	NEBNext Ultra RNA Library Prep Kit for Illumina, standard tophat, htseq count	single-end	NA	Illumina HiSeq 2500	Hs	HC	PB	Vecchio F 2018	FALSE	FALSE	Vecchio F	30232284	TRUE	NA	Ficoll-Hypaque	NA	in vivo
SRX3729692	SRR6757096	GSE110914	GSM3018819	NEBNext Ultra RNA Library Prep Kit for Illumina, standard tophat, htseq count	single-end	NA	Illumina HiSeq 2500	Hs	HC	PB	Vecchio F 2018	FALSE	FALSE	Vecchio F	30232284	TRUE	NA	Ficoll-Hypaque	NA	in vivo
SRX3729693	SRR6757097	GSE110914	GSM3018820	NEBNext Ultra RNA Library Prep Kit for Illumina, standard tophat, htseq count	single-end	NA	Illumina HiSeq 2500	Hs	HC	PB	Vecchio F 2018	FALSE	FALSE	Vecchio F	30232284	TRUE	NA	Ficoll-Hypaque	NA	in vivo
SRX3729694	SRR6757098	GSE110914	GSM3018821	NEBNext Ultra RNA Library Prep Kit for Illumina, standard tophat, htseq count	single-end	NA	Illumina HiSeq 2500	Hs	HC	PB	Vecchio F 2018	FALSE	FALSE	Vecchio F	30232284	TRUE	NA	Ficoll-Hypaque	NA	in vivo
SRX3729695	SRR6757099	GSE110914	GSM3018822	NEBNext Ultra RNA Library Prep Kit for Illumina, standard tophat, htseq count	single-end	NA	Illumina HiSeq 2500	Hs	HC	PB	Vecchio F 2018	FALSE	FALSE	Vecchio F	30232284	TRUE	NA	Ficoll-Hypaque	NA	in vivo
SRX3824891	SRR6870883	GSE112101	GSM3057648	TruSeq Stranded Total RNA	paired-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Franco LM 2019	FALSE	TRUE	Franco LM	30674564	TRUE	NA	negative_selection	2h	in vitro
SRX3824898	SRR6870889	GSE112101	GSM3057654	TruSeq Stranded Total RNA	paired-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Franco LM 2019	FALSE	TRUE	Franco LM	30674564	TRUE	NA	negative_selection	6h	in vitro
SRX4203014	SRR7300589	GSE115736	GSM3188503	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 2500	Hs	HC	PB	de Graaf CA 2018	FALSE	TRUE	de Graaf CA	30395284	TRUE	NA	negative_selection	NA	in vivo
SRX4203033	SRR7300627	GSE115736	GSM3188522	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 2500	Hs	HC	PB	de Graaf CA 2018	FALSE	TRUE	de Graaf CA	30395284	TRUE	NA	negative_selection	NA	in vivo
SRX4203043	SRR7300647	GSE115736	GSM3188532	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 2500	Hs	HC	PB	de Graaf CA 2018	FALSE	TRUE	de Graaf CA	30395284	TRUE	NA	negative_selection	NA	in vivo
SRX4559878	SRR7702555	GSE118644	GSM3335818	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559879	SRR7702556	GSE118644	GSM3335819	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559880	SRR7702557	GSE118644	GSM3335820	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559881	SRR7702558	GSE118644	GSM3335821	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559882	SRR7702559	GSE118644	GSM3335822	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559883	SRR7702560	GSE118644	GSM3335823	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559884	SRR7702561	GSE118644	GSM3335824	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559885	SRR7702562	GSE118644	GSM3335825	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559886	SRR7702563	GSE118644	GSM3335826	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559887	SRR7702564	GSE118644	GSM3335827	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559888	SRR7702565	GSE118644	GSM3335828	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559889	SRR7702566	GSE118644	GSM3335829	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559890	SRR7702567	GSE118644	GSM3335830	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559891	SRR7702568	GSE118644	GSM3335831	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559892	SRR7702569	GSE118644	GSM3335832	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559893	SRR7702570	GSE118644	GSM3335833	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559894	SRR7702571	GSE118644	GSM3335834	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559895	SRR7702572	GSE118644	GSM3335835	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559896	SRR7702573	GSE118644	GSM3335836	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559897	SRR7702574	GSE118644	GSM3335837	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559898	SRR7702575	GSE118644	GSM3335838	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX4559899	SRR7702576	GSE118644	GSM3335839	NEBNext Ultra II directional RNA Library prep Kit	paired-end	mRNA	Illumina NextSeq 500	Hs	HC	PB	Grabowski P 2019	FALSE	TRUE	Grabowski P	30630937	TRUE	NA	negative_selection	NA	in vivo
SRX5128304	SRR8315473	GSE123785_GSE123787	GSM3511360	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128305	SRR8315474	GSE123785_GSE123787	GSM3511361	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128306	SRR8315475	GSE123785_GSE123787	GSM3511362	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128307	SRR8315476	GSE123785_GSE123787	GSM3511363	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128308	SRR8315477	GSE123785_GSE123787	GSM3511364	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128309	SRR8315478	GSE123785_GSE123787	GSM3511365	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128310	SRR8315479	GSE123785_GSE123787	GSM3511366	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128311	SRR8315480	GSE123785_GSE123787	GSM3511367	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128312	SRR8315481	GSE123785_GSE123787	GSM3511368	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128313	SRR8315482	GSE123785_GSE123787	GSM3511369	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX5128314	SRR8315483	GSE123785_GSE123787	GSM3511370	NA	single-end	total_RNA	Illumina NextSeq 500	Hs	HC	PB	Catapano M 2019	FALSE	TRUE	Catapano M	31539532	TRUE	NA	negative_selection	12h	in vivo
SRX6771549	SRR10036372	GSE136632	GSM4053588	Ovation RNA-Seq	single-end	total_RNA	Illumina HiSeq 2500	Hs	HC	PB	Adrover JM 2020	FALSE	TRUE	Adrover JM	31932813	TRUE	NA	Histopaque_gradient	NA	in vivo
SRX6771550	SRR10036373	GSE136632	GSM4053589	Ovation RNA-Seq	single-end	total_RNA	Illumina HiSeq 2500	Hs	HC	PB	Adrover JM 2020	FALSE	TRUE	Adrover JM	31932813	TRUE	NA	Histopaque_gradient	NA	in vivo
SRX6771551	SRR10036374	GSE136632	GSM4053590	Ovation RNA-Seq	single-end	total_RNA	Illumina HiSeq 2500	Hs	HC	PB	Adrover JM 2020	FALSE	TRUE	Adrover JM	31932813	TRUE	NA	Histopaque_gradient	NA	in vivo
SRX6771552	SRR10036375	GSE136632	GSM4053591	Ovation RNA-Seq	single-end	total_RNA	Illumina HiSeq 2500	Hs	HC	PB	Adrover JM 2020	FALSE	TRUE	Adrover JM	31932813	TRUE	NA	Histopaque_gradient	NA	in vivo
SRX6771553	SRR10036376	GSE136632	GSM4053592	Ovation RNA-Seq	single-end	total_RNA	Illumina HiSeq 2500	Hs	HC	PB	Adrover JM 2020	FALSE	TRUE	Adrover JM	31932813	TRUE	NA	Histopaque_gradient	NA	in vivo
SRX6771554	SRR10036377	GSE136632	GSM4053593	Ovation RNA-Seq	single-end	total_RNA	Illumina HiSeq 2500	Hs	HC	PB	Adrover JM 2020	FALSE	TRUE	Adrover JM	31932813	TRUE	NA	Histopaque_gradient	NA	in vivo
SRX6838292	SRR10106400	GSE137351	GSM4076963	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	HC	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	0h	in vitro
SRX6838293	SRR10106401	GSE137351	GSM4076964	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	1h	in vitro
SRX6838294	SRR10106402	GSE137351	GSM4076965	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	3h	in vitro
SRX6838295	SRR10106403	GSE137351	GSM4076966	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	6h	in vitro
SRX6838296	SRR10106404	GSE137351	GSM4076967	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	HC	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	0h	in vitro
SRX6838297	SRR10106405	GSE137351	GSM4076968	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	1h	in vitro
SRX6838298	SRR10106406	GSE137351	GSM4076969	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	3h	in vitro
SRX6838299	SRR10106407	GSE137351	GSM4076970	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	6h	in vitro
SRX6838300	SRR10106408	GSE137351	GSM4076971	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	HC	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	0h	in vitro
SRX6838301	SRR10106409	GSE137351	GSM4076972	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	1h	in vitro
SRX6838302	SRR10106410	GSE137351	GSM4076973	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	3h	in vitro
SRX6838303	SRR10106411	GSE137351	GSM4076974	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	6h	in vitro
SRX6838304	SRR10106412	GSE137351	GSM4076975	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	HC	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	0h	in vitro
SRX6838305	SRR10106413	GSE137351	GSM4076976	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	1h	in vitro
SRX6838306	SRR10106414	GSE137351	GSM4076977	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	3h	in vitro
SRX6838307	SRR10106415	GSE137351	GSM4076978	TruSeq Stranded Total RNA LT	single-end	total_RNA	Illumina Nextseq500	Hs	F.alocis	PB	Miralda I 2020	TRUE	FALSE	Miralda I	32373107	FALSE	NA	negative_selection	6h	in vitro
SRX7052811	SRR10342787	GSE139358_GSE139360	GSM4138684	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052812	SRR10342788	GSE139358_GSE139360	GSM4138685	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052813	SRR10342789	GSE139358_GSE139360	GSM4138686	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
